ds,Country,y,Temp_Max_Avg,Temp_Min_Avg
2015-12-31,Bahrain,28.48,28.426575342465757,24.30767123287671
2016-12-31,Bahrain,28.5,28.343169398907104,24.051366120218578
2017-12-31,Bahrain,29.27,30.969041095890415,23.63205479452055
2018-12-31,Bahrain,29.75,31.31753424657534,24.075342465753426
2019-12-31,Bahrain,33.19,31.033698630136985,23.96958904109589
2020-12-31,Bahrain,33.16,30.958196721311477,23.653005464480874
2021-12-31,Bahrain,33.93,31.56356164383562,24.01753424657534
2022-12-31,Bahrain,35.71,31.00109589041096,23.731232876712326
2023-12-31,Bahrain,36.18,31.314520547945204,24.046849315068496
2015-12-31,Egypt,181.14,29.180000000000003,15.846301369863014
2016-12-31,Egypt,187.92,29.848907103825137,16.10983606557377
2017-12-31,Egypt,192.87,28.93643835616438,16.2772602739726
2018-12-31,Egypt,198.82,29.845479452054796,17.3813698630137
2019-12-31,Egypt,199.78,29.66082191780822,16.66958904109589
2020-12-31,Egypt,197.18,30.11311475409836,16.96775956284153
2021-12-31,Egypt,208.19,30.73013698630137,16.99917808219178
2022-12-31,Egypt,215.15,29.647945205479452,16.162191780821917
2023-12-31,Egypt,220.32,30.77972602739726,17.080547945205478
2015-12-31,Kuwait,68.3,31.800821917808218,21.852054794520548
2016-12-31,Kuwait,70.1,32.129234972677594,21.70191256830601
2017-12-31,Kuwait,68.89,32.63972602739726,21.968767123287673
2018-12-31,Kuwait,74.13,32.43506849315068,22.56794520547945
2019-12-31,Kuwait,75.04,31.986849315068493,22.177534246575345
2020-12-31,Kuwait,74.64,32.01639344262295,21.92622950819672
2021-12-31,Kuwait,80.8,33.25808219178082,22.665479452054793
2022-12-31,Kuwait,85.29,32.52876712328767,22.186027397260272
2023-12-31,Kuwait,85.57,32.175342465753424,22.462739726027397
2015-12-31,Oman,32.75,32.099178082191784,23.86219178082192
2016-12-31,Oman,34.23,31.470765027322404,23.925409836065576
2017-12-31,Oman,36.15,32.89260273972602,24.855068493150686
2018-12-31,Oman,37.76,33.018630136986296,25.11890410958904
2019-12-31,Oman,38.89,32.32767123287671,24.67945205479452
2020-12-31,Oman,38.64,31.95464480874317,24.275683060109287
2021-12-31,Oman,41.82,32.84301369863014,24.869041095890413
2022-12-31,Oman,44.12,32.52630136986301,24.954246575342463
2023-12-31,Oman,45.01,32.65698630136986,25.197808219178086
2015-12-31,Qatar,41.63,32.846575342465755,22.79232876712329
2016-12-31,Qatar,42.44,32.52732240437158,22.277868852459015
2017-12-31,Qatar,45.7,32.858082191780824,23.446849315068494
2018-12-31,Qatar,48.06,33.14027397260274,23.819999999999997
2019-12-31,Qatar,50.0,32.802191780821914,23.665479452054793
2020-12-31,Qatar,49.4,32.296994535519126,23.284972677595626
2021-12-31,Qatar,51.79,33.31369863013698,23.596712328767122
2022-12-31,Qatar,54.17,32.83945205479452,23.495068493150686
2023-12-31,Qatar,55.14,33.39095890410959,23.676712328767124
2015-12-31,Saudi_Arabia,350.59,33.11780821917808,19.151232876712328
2016-12-31,Saudi_Arabia,356.94,32.66393442622951,18.868852459016395
2017-12-31,Saudi_Arabia,394.96,33.214246575342464,20.14712328767123
2018-12-31,Saudi_Arabia,374.74,33.123835616438356,20.433424657534246
2019-12-31,Saudi_Arabia,378.85,32.81890410958904,20.114246575342467
2020-12-31,Saudi_Arabia,380.53,32.6879781420765,20.025956284153004
2021-12-31,Saudi_Arabia,392.91,33.806301369863014,20.648219178082194
2022-12-31,Saudi_Arabia,409.8,33.51698630136986,20.373150684931506
2023-12-31,Saudi_Arabia,429.21,33.157260273972604,20.562191780821916
2015-12-31,UAE,127.37,33.370958904109585,23.148219178082194
2016-12-31,UAE,130.24,32.720218579234974,23.473497267759562
2017-12-31,UAE,134.47,33.29506849315069,25.333150684931507
2018-12-31,UAE,135.98,32.806575342465756,25.357808219178082
2019-12-31,UAE,138.44,32.540547945205475,25.064657534246578
2020-12-31,UAE,137.28,32.60901639344262,25.028688524590162
2021-12-31,UAE,149.26,33.24493150684931,25.464657534246577
2022-12-31,UAE,155.31,33.06986301369863,25.15068493150685
2023-12-31,UAE,167.42,33.07369863013699,25.12904109589041
